"","X","Y"
"361",449154.619740247,4434556.49437341
"362",449207.60368312,4433896.01714425
"363",447677.695076758,4433918.3555576
"364",451645.286201703,4434434.42369189
"365",450719.56601214,4433744.69092922
"366",449630.410111597,4434156.35996694
"367",448587.401664516,4433750.39356149
"368",451918.67200962,4434404.85816783
"369",450895.629999305,4433713.93535402
"370",448953.738391234,4434497.44213531
"371",453514.38521307,4435393.62213492
"372",452183.359432833,4433493.93094336
"373",450128.414537437,4435088.66326311
"374",448000.875225848,4434517.64820095
"375",451263.48242495,4434193.41081071
"376",452138.129162703,4433222.67733629
"377",447085.442843577,4434425.17149346
"378",450779.008893121,4434262.18992577
"379",447697.387343772,4434461.8523782
"380",451474.817282316,4433397.95340542
"381",449702.444927747,4434641.56324936
"382",449914.036153546,4433572.76096817
"383",448367.672080754,4434028.52659237
"384",450990.570142045,4434414.6110534
"385",450036.273245075,4433582.57841746
"386",449564.823055882,4435361.67349309
"387",453212.840796015,4434752.68696247
"388",452576.858019392,4433707.80338453
"389",450211.366909853,4434436.58371188
"390",448354.712913421,4434578.50953693
"391",451644.797484587,4433987.38545983
"392",452161.919019443,4433981.8547986
"393",449948.140385594,4434836.54776762
"394",450519.678336849,4434715.36483174
"395",447371.232239218,4434440.0687415
"396",451189.7521655,4433346.69697933
"397",449156.866573159,4434865.6734771
"398",449065.034210137,4433716.44797639
"399",448884.18994073,4433650.24342804
"400",452557.635511357,4434401.14614986
"401",450175.136600172,4434025.34547443
"402",448424.482559906,4434936.11962647
"403",453012.959649483,4434740.62782368
"404",452431.451119048,4434104.90666606
"405",450348.528293208,4434441.65728925
"406",448166.085129268,4434530.75926191
"407",451765.005355035,4434169.17481864
"408",451666.101661252,4432931.01150218
"409",449522.9396754,4434554.84731206
"410",449346.188706482,4434112.56059483
"411",447559.248608554,4434499.0420127
"412",451109.001204216,4433537.9749926
"413",449087.489556492,4435038.36234933
"414",449808.297164353,4434098.70210152
"415",448813.132810265,4434114.65829626
"416",452631.769496536,4434277.47726618
"417",450062.489067536,4433789.24764402
"418",448731.189715039,4434585.96943499
"419",452959.280855604,4434325.41293038
"420",451971.109302685,4433656.20264035
"421",450143.407178657,4434716.71518119
"422",447966.202321008,4434750.39785299
"423",451132.322650639,4433883.24761153
"424",451027.098678634,4433176.97087338
"425",449929.064156608,4434253.43128768
"426",449233.740081708,4434015.53333243
"427",447964.301092803,4433997.41275197
"428",451687.72443927,4434212.74529117
"429",450933.92245165,4434141.84594356
"430",449607.644102173,4433792.58607755
"431",453224.482365273,4434168.66989881
"432",452796.34862623,4434878.78801239
"433",450602.13351597,4433436.64445639
"434",448636.46205773,4434408.87317827
"435",453515.221695359,4435222.47697608
"436",452143.453570587,4433533.99709392
"437",450005.751710331,4435040.64717687
"438",447703.49007225,4434380.80501228
"439",451379.639634621,4434027.63751573
"440",449713.063818416,4433208.73243503
"441",447150.401444402,4434297.20798047
"442",450745.576435834,4434333.92431303
"443",447707.193968498,4434610.09833894
"444",451439.890518139,4433528.91599501
"445",449630.660405956,4434534.51346783
"446",449797.41097049,4433574.46275328
